"","x","y"
"255",-29.6920115495669,-33.380846325167
"256",-29.6689124157844,-33.380846325167
"257",-29.5996150144369,-33.3496659242762
"258",-29.4956689124158,-33.2249443207127
"259",-29.3455245428296,-33.1937639198218
"260",-29.2531280076997,-33.0066815144766
"261",-29.2300288739172,-33.0066815144766
"262",-29.2069297401347,-32.9755011135857
"263",-29.0914340712223,-32.8819599109131
"264",-29.0452358036574,-32.8507795100223
"265",-28.9990375360924,-32.8507795100223
"266",-28.8719923002887,-32.7884187082405
"267",-28.79114533205,-32.6636971046771
"268",-28.7102983638113,-32.6636971046771
"269",-28.6871992300289,-32.6636971046771
"270",-28.6294513955727,-32.6636971046771
"271",-28.5370548604427,-32.6325167037862
"272",-28.5255052935515,-32.6013363028953
"273",-28.3984600577478,-32.5701559020044
"274",-28.3753609239653,-32.5389755011136
"275",-28.3060635226179,-32.5077951002227
"276",-28.2714148219442,-32.5077951002227
"277",-28.2598652550529,-32.5077951002227
"278",-28.1443695861405,-32.4766146993318
"279",-28.1097208854668,-32.445434298441
"280",-28.0866217516843,-32.445434298441
"281",-27.9595765158806,-32.445434298441
"282",-27.9595765158806,-32.445434298441
"283",-27.9249278152069,-32.445434298441
"284",-27.8440808469682,-32.4142538975501
"285",-27.832531280077,-32.4142538975501
"286",-27.7747834456208,-32.4142538975501
"287",-27.6939364773821,-32.4142538975501
"288",-27.6477382098171,-32.4142538975501
"289",-27.6130895091434,-32.4142538975501
"290",-27.5899903753609,-32.4142538975501
"291",-27.5322425409047,-32.5077951002227
"292",-27.5206929740135,-32.5077951002227
"293",-27.451395572666,-32.6325167037862
"294",-27.4398460057748,-32.6325167037862
"295",-27.4398460057748,-32.7884187082405
"296",-27.4398460057748,-32.8195991091314
"297",-27.4398460057748,-32.913140311804
"298",-27.4398460057748,-33.0378619153675
"299",-27.4398460057748,-33.0378619153675
"300",-27.497593840231,-33.162583518931
"301",-27.497593840231,-33.162583518931
"302",-27.497593840231,-33.162583518931
"303",-27.5206929740135,-33.3184855233853
"304",-27.5206929740135,-33.3184855233853
"305",-27.5784408084697,-33.3496659242762
"306",-27.6361886429259,-33.5367483296214
"307",-27.6823869104908,-33.5679287305122
"308",-27.7170356111646,-33.630289532294
"309",-27.7285851780558,-33.6614699331848
"310",-27.7516843118383,-33.6926503340757
"311",-27.832531280077,-33.7550111358575
"312",-27.832531280077,-33.7550111358575
"313",-27.8671799807507,-33.8173719376392
"314",-27.8902791145332,-33.8173719376392
"315",-27.9249278152069,-33.8485523385301
"316",-27.9711260827719,-33.9420935412027
"317",-28.0173243503369,-34.0668151447661
"318",-28.0519730510106,-34.097995545657
"319",-28.121270452358,-34.1603563474387
"320",-28.121270452358,-34.1603563474387
"321",-28.167468719923,-34.2227171492205
"322",-28.2367661212704,-34.2850779510022
"323",-28.2945139557267,-34.3786191536748
"324",-28.3407122232916,-34.4409799554566
"325",-28.4100096246391,-34.4721603563474
"326",-28.4446583253128,-34.5033407572383
"327",-28.4446583253128,-34.5033407572383
"328",-28.5255052935515,-34.5345211581292
"329",-28.5601539942252,-34.56570155902
"330",-28.6063522617902,-34.6592427616926
"331",-28.6641000962464,-34.6904231625835
"332",-28.7102983638113,-34.7216035634744
"333",-28.7564966313763,-34.7216035634744
"334",-28.8142444658325,-34.815144766147
"335",-28.8604427333975,-34.815144766147
"336",-28.9181905678537,-34.9086859688196
"337",-28.9643888354187,-34.9398663697105
"338",-28.9643888354187,-34.9398663697105
"339",-28.9759384023099,-34.9398663697105
"340",-29.0336862367661,-34.9398663697105
"341",-29.1029836381136,-35.0022271714922
"342",-29.1491819056785,-35.0334075723831
"343",-29.2069297401347,-35.0645879732739
"344",-29.2415784408085,-35.0645879732739
"345",-29.2877767083734,-35.1269487750557
"346",-29.2877767083734,-35.1269487750557
"347",-29.3455245428296,-35.1581291759465
"348",-29.4379210779596,-35.2516703786191
"349",-29.5303176130895,-35.2516703786191
"350",-29.6111645813282,-35.3452115812917
"351",-29.6920115495669,-35.3452115812917
"352",-29.7613089509143,-35.3452115812917
"353",-29.8075072184793,-35.4075723830735
"354",-29.8306063522618,-35.4387527839644
"355",-29.888354186718,-35.4699331848552
"356",-29.9461020211742,-35.5011135857461
"357",-30.0153994225216,-35.5011135857461
"358",-30.0731472569779,-35.5011135857461
"359",-30.1539942252165,-35.532293986637
"360",-30.1886429258903,-35.532293986637
"361",-30.2579403272377,-35.5634743875278
"362",-30.3272377285852,-35.5634743875278
"363",-30.3849855630414,-35.5634743875278
"364",-30.4658325312801,-35.5634743875278
"365",-30.4658325312801,-35.5634743875278
"366",-30.5466794995188,-35.5634743875278
"367",-30.5928777670837,-35.5634743875278
"368",-30.6506256015399,-35.5634743875278
"369",-30.6621751684312,-35.5634743875278
"370",-30.7083734359961,-35.5634743875278
"371",-30.7661212704523,-35.5011135857461
"372",-30.7892204042348,-35.4699331848552
"373",-30.8123195380173,-35.4075723830735
"374",-30.8354186717998,-35.4075723830735
"375",-30.8816169393648,-35.3452115812917
"376",-30.9047160731472,-35.2516703786191
"377",-30.9047160731472,-35.2516703786191
"378",-30.9047160731472,-35.1581291759465
